step,epoch,k,train_mse,val_mse,val_l0,dead_frac,aux_loss,n_dead
10000,1,16,0.13387960265798424,0.16476705118124416,16.0,0.0,0.9241166114807129,11
20000,1,16,0.1094936874480549,0.13923588106284138,16.0,0.0009765625,1.2733259201049805,0
30000,1,16,0.1006804635970275,0.12840025389199594,16.0,0.0,0.9401378631591797,1
40000,1,16,0.09683440416992413,0.12316391019816558,16.0,0.0,0.9278082251548767,1
50000,1,16,0.09237209285819947,0.11939351511069514,16.0,0.0,0.0,0
60000,1,16,0.09022908160361955,0.11734525803416887,16.0,0.0,0.9926040172576904,0
70000,1,16,0.08827582244313456,0.1153154203781346,16.0,0.0,0.8500118851661682,0
80000,1,16,0.08848432322691376,0.11408243341357215,16.0,0.0,0.0,1
90000,1,16,0.08615604016370905,0.11297959392815529,16.0,0.0,1.0388461351394653,1
100000,1,16,0.08429979531918584,0.11222642005655951,16.0,0.0,0.0,0
110000,1,16,0.08440992086922416,0.11138708671963678,15.999998693384521,0.0,0.0,0
120000,1,16,0.08353686728919912,0.11109653876137256,15.999999143941583,0.0,0.0,0
130000,1,16,0.08169505886310745,0.11038722713545376,15.99999716149051,0.0,0.0,0
140000,1,16,0.08243112395876649,0.10990901287674801,15.999997927437516,0.0,0.0,0
150000,1,16,0.08234708515081197,0.1095408127002376,15.99999265591989,0.0,1.0985047817230225,1
160000,1,16,0.0822733495807064,0.10925391473592475,15.999983825001474,0.0,0.0,0
170000,1,16,0.08208170093623743,0.10888852076276546,15.999893623477664,0.0,0.9370460510253906,1
180000,1,16,0.08138134174476634,0.10858211805648049,15.999946518876742,0.0,0.0,0
190000,1,16,0.0816841185737528,0.10833578449876267,15.999940391300699,0.0,0.0,0
200000,1,16,0.08125905392427886,0.10807103624856947,15.99992863176138,0.0,0.0,1
210000,1,16,0.08096434152994199,0.10795991710202651,15.999870059343321,0.0,0.0,0
220000,1,16,0.08181788991180809,0.10770772576672591,15.999921783294038,0.0,0.0,0
230000,1,16,0.08140714370736671,0.10762788664684134,15.99995507946092,0.0,0.0,0
240000,1,16,0.07981488259409933,0.1073847429997123,15.99993336261053,0.0,0.0,0
250000,1,16,0.07955251021148647,0.10730621884113936,15.999911961150087,0.0,0.0,0
260000,1,16,0.08109697480044029,0.10715549493755414,15.999944221035726,0.0,0.0,0
270000,1,16,0.07930403177158375,0.10702575400684117,15.99993669673279,0.0,0.0,0
280000,1,16,0.08098224832792676,0.1068793997966548,15.999995899930736,0.0,0.0,0
290000,1,16,0.0796160496762815,0.10681899486951034,15.99998968224328,0.0,0.0,0
300000,1,16,0.08119206627941755,0.10662577610867723,15.999960936702726,0.0,0.0,0
310000,1,16,0.07992799839341735,0.10658989747735705,15.999967830225774,0.0,0.0,0
320000,1,16,0.0804498323732588,0.10648990081185002,15.999921828349745,0.0,0.0,0
330000,1,16,0.08065774780721437,0.10638648051178652,15.999913853489748,0.0,0.0,0
340000,1,16,0.0792397840643719,0.10627335737688451,15.999887946458683,0.0,0.0,0
350000,1,16,0.08076934825149996,0.10614997076320655,15.999838925850337,0.0,0.0,0
360000,1,16,0.07841136164856634,0.10610162417885273,15.999858480026829,0.0,0.0,0
370000,1,16,0.07950731616085312,0.10602038530643011,15.999892136639358,0.0,0.0,0
380000,1,16,0.07981201229870541,0.10592411760905225,15.999853523899146,0.0,0.0,0
390000,1,16,0.0785961770102931,0.10583742273709285,15.99984744137881,0.0,0.0,0
400000,1,16,0.07852076131634082,0.10573033414831277,15.999863976822985,0.0,0.0,0
410000,1,16,0.0777385108068988,0.10567067361800417,15.99986677027677,0.0,0.0,0
420000,1,16,0.07820563029229445,0.10554683969378044,15.999743993448716,0.0,0.0,0
430000,1,16,0.07869048882703249,0.10558714276009395,15.999759988195756,0.0,0.0,0
440000,1,16,0.07789698419223902,0.10549243893626288,15.999833924609629,0.0,0.0,0
450000,1,16,0.078494163765625,0.10545957261186126,15.999815496854454,0.0,0.0,0
460000,1,16,0.07840342717579774,0.10539757795639149,15.999804232927904,0.0,0.0,0
470000,1,16,0.07762628734992327,0.1053889594908847,15.999811712146473,0.0,0.0,0
480000,1,16,0.07929530241248892,0.10537205797114507,15.999757645299034,0.0,0.0,0
490000,1,16,0.07748005311469541,0.10521970422117888,15.999845774317679,0.0,0.0,0
500000,1,16,0.07847636668085563,0.1051692632811976,15.999760618975643,0.0,0.0,0
