step,epoch,train_loss,train_recon,train_L1,val_loss,val_mse,val_l0,dead_frac
10000,1,0.2821262323232707,0.08071501831791648,201.4112030698401,0.0010448020225887714,0.0008326912853651225,669.6793106013589,0.0
20000,1,0.22943899824295197,0.049161269873992844,180.2777203022482,0.0007104815429550745,0.0005183355491043916,672.5307682928104,0.0
30000,1,0.2055819489748562,0.034221641062716295,171.36030077550674,0.0005338527502427953,0.00035123343479439325,672.3420114647055,0.0
40000,1,0.19920847720861654,0.03363273742306639,165.5757326108247,0.0005262884039114175,0.00035070918238369137,672.1441331124142,0.0
50000,1,0.18959072777347502,0.02997768078084733,159.6130390432958,0.000479778056195099,0.0003095147200565894,671.5623221085192,0.0
60000,1,0.18516057080870565,0.02910711692539848,156.05344608142929,0.0004654158764863419,0.00029972709865887486,671.5234653011829,0.0
70000,1,0.17865589906414103,0.02739644340105266,151.25944859809164,0.0004528156189516078,0.000292210156113113,670.8469106663368,0.0
80000,1,0.1754143966975721,0.02750595250402626,147.90843765713024,0.00043858594303447924,0.00028219773470285154,670.2280803207741,0.0
90000,1,0.169972159791109,0.026336024897326598,143.63612745247278,0.0004201170147222881,0.0002676635200678141,670.0493003988024,0.0
100000,1,0.16306341870923255,0.025136264002852283,137.92714816402037,0.0004060053735238601,0.00025897694857232996,669.1251833126909,0.0
110000,1,0.15710182686203036,0.023203705858638658,133.8981137992425,0.00038668453880320316,0.00024400873615012768,668.9229628021236,0.0
120000,1,0.1507678329136036,0.021897332111156142,128.8704945842274,0.0003665089549095616,0.00022890273160837312,667.9742513851229,0.0
130000,1,0.14390170360742555,0.02047306411619205,123.42863331927346,0.00034768948743497887,0.00021538048658371035,667.1144160371155,0.0
140000,1,0.1387208213768615,0.01906699453009035,119.65382115673594,0.0003362864754143891,0.0002093983625665021,665.8541793651764,0.0
150000,1,0.13362726409243778,0.01855221567271245,115.07504313931977,0.00031873664470129633,0.00019637716884304742,665.1771051897618,0.0
160000,1,0.12810293648839077,0.0177591651564892,110.34376668890773,0.0003024859862278326,0.0001850141115546726,664.1062619908084,0.0
170000,1,0.12325712850767098,0.01681311977416834,106.44400377385941,0.00028429626592736446,0.00017180766322342467,662.6878604153366,0.0
180000,1,0.11753968493107138,0.015745528454277957,101.79415145440434,0.0002697493423422923,0.0001620563840146681,661.0828464014693,0.0
190000,1,0.11177680141932156,0.014411665494402065,97.36513112837036,0.00025217899839527643,0.00014892971333788552,659.8907905947792,0.0
200000,1,0.10751268970507478,0.013935785529333264,93.57690004313388,0.00023487216833017213,0.00013578017683833266,658.1465566598434,0.0
210000,1,0.10249643267546615,0.012920117813489077,89.57631046439055,0.00022330749477542667,0.0001283303010340277,655.3411718535536,0.0
220000,1,0.09864913527611988,0.011926999822032566,86.72213053035144,0.00021312214653281634,0.00012191254713024891,650.9522243679451,0.0
230000,1,0.09474215662514322,0.01124222108674342,83.49993180527807,0.0001931756213811441,0.00010519384035371578,646.468833503057,0.0
240000,1,0.09094050523880066,0.01069099421346525,80.24950663951276,0.00019042717793088634,0.00010541721042160993,641.1452955929216,0.0009765625
250000,1,0.08790370198563907,0.010057830041720683,77.84586851842073,0.00018489531877489987,0.00010249027133819984,629.77303922475,0.0009765625
260000,1,0.08588679462876113,0.009763642279235377,76.12314876080511,0.00017889019425446198,9.906129198841009e-05,607.7616688729565,0.0029296875
270000,1,0.08118018721105344,0.008590591711528347,72.58959178224723,0.0001628393399536198,8.563506187406875e-05,576.93075036783,0.00390625
280000,1,0.07878603899723077,0.007646254002354337,71.13978139296731,0.00015030397010383037,7.55042396827755e-05,527.2644232456512,0.00390625
290000,1,0.0752909936424954,0.006441401627520283,68.84958917632625,0.00013102944697734135,5.8210199552202785e-05,473.4309324158646,0.0078125
300000,1,0.07304121938073742,0.005045478278078074,67.99573776606391,0.00012101649129207485,4.9751367088232416e-05,407.52948821452554,0.01953125
310000,1,0.06993099694437441,0.0036350843592109316,66.29590939537569,9.906723128160053e-05,2.8879974021796557e-05,346.63345452851934,0.0400390625
320000,1,0.06813612197534191,0.002217700049908016,65.91841863643519,8.588508660213171e-05,1.644983180851305e-05,306.17863582575893,0.087890625
330000,1,0.06682033394900493,0.0010451609057497383,65.77517035866508,7.845032907770916e-05,9.516438105574002e-06,287.26720912707253,0.1513671875
340000,1,0.06840439913492916,0.00342229366314101,64.98210219358798,0.00010382896349024383,3.5243160799752705e-05,279.2246328832492,0.19140625
350000,1,0.06714790953388225,0.0019431450906508252,65.20476127202087,8.794412568731026e-05,1.9645725951508494e-05,277.92902140150915,0.2294921875
360000,1,0.06536315354550579,0.0013414898469715606,64.02166023657362,8.431337278112993e-05,1.629234111554853e-05,277.48725498034077,0.26953125
370000,1,0.06626307401709962,0.002198678103944976,64.06439247006544,0.0001051548365808219,3.739782772166393e-05,276.9622439476869,0.2841796875
380000,1,0.06623735714691885,0.0022355665138168875,64.00178778117568,9.214742568123496e-05,2.461721244311387e-05,276.93560719659365,0.302734375
390000,1,0.0651132986534164,0.0015930098771270234,63.520285473253324,7.912636243129888e-05,1.1832625554357749e-05,276.74445408074627,0.31640625
400000,1,0.06422755053338906,0.0010028441243330258,63.22470344649474,7.287029685139858e-05,5.779901160724352e-06,276.13473170015834,0.314453125
410000,1,0.06411610577184249,0.0012729365497436303,62.84316597788829,8.035839585822346e-05,1.3484987047207648e-05,275.844639633723,0.326171875
420000,1,0.06361049905080092,0.0006828373316527729,62.92765842149009,7.270919971499398e-05,6.0471321464829846e-06,275.9700653018399,0.3310546875
430000,1,0.06443560019466593,0.0014810821592125894,62.95451475616055,8.170134484474672e-05,1.5212397159263768e-05,275.47021540736705,0.33203125
440000,1,0.06334553720751289,0.000798362850819405,62.547171265671096,7.293962039597107e-05,6.647908114416779e-06,275.71412154226925,0.3310546875
450000,1,0.06395590416590315,0.0014695190910946978,62.486381683362,7.968102975207065e-05,1.3543377859100817e-05,275.63585775587865,0.3447265625
460000,1,0.06390168076501992,0.0014894235535405833,62.412254076290225,7.814324581270933e-05,1.2174899665681003e-05,275.8051674558704,0.3515625
470000,1,0.06369046057196467,0.0015581491636320424,62.13230847193073,7.940224631587447e-05,1.3599364596763336e-05,275.69932858421777,0.34765625
480000,1,0.06439079576669045,0.0021443193443029447,62.24647361938619,8.049688757774315e-05,1.4855786527657749e-05,275.61233124162794,0.3486328125
490000,1,0.06401113335577385,0.00222697172407688,61.78415872846497,0.00010161251566857628,3.611915830511595e-05,275.8080629608458,0.349609375
500000,1,0.0630758126951661,0.0012268001357901906,61.84900912486759,7.739378107652512e-05,1.2022601331016058e-05,275.904366964761,0.345703125
