step,epoch,k,train_mse,val_mse,val_l0,dead_frac
10000,1,48,8.983367949378714,0.08689909251946266,48.0,0.09375
20000,1,48,7.477957305630095,0.07438929521013826,48.0,0.1083984375
30000,1,48,6.9289253275159,0.06926499673835447,48.0,0.1220703125
40000,1,48,6.677387283316929,0.06619468336523143,47.99999995494429,0.142578125
50000,1,48,6.358655859744638,0.06378091446743114,48.0,0.162109375
60000,1,48,6.14149162512504,0.06183349083604699,47.99999995494429,0.169921875
70000,1,48,5.919008828792733,0.06005675967131789,47.99999972966576,0.1650390625
80000,1,48,5.868237989125905,0.0583020872078668,47.999994368036724,0.1708984375
90000,1,48,5.59592374481159,0.05678364661594288,47.99999441309243,0.1611328125
100000,1,48,5.390804996571519,0.05536606894858683,47.999980671102044,0.1875
110000,1,48,5.322769590010703,0.05409008430875334,47.99997810292679,0.181640625
120000,1,48,5.191397339874295,0.05300404537430498,47.9999636851008,0.1904296875
130000,1,48,5.010551213748794,0.05201692312665356,47.9999810766034,0.1845703125
140000,1,48,5.005320092401522,0.05110317836640815,47.99996035097855,0.19140625
150000,1,48,4.930032239274713,0.050306060878039086,47.99997882381809,0.1884765625
160000,1,48,4.848456687256185,0.04946739393352986,47.99973088212147,0.1982421875
170000,1,48,4.7806033068283655,0.048629349650787114,47.99993142501665,0.205078125
180000,1,48,4.71232934177973,0.047877807264535256,47.99998679867809,0.203125
190000,1,48,4.671968286180802,0.047204210469978754,47.99995706154573,0.2021484375
200000,1,48,4.617766645828689,0.04659725641899986,47.99989646162089,0.19140625
210000,1,48,4.5432080678452165,0.046109389376525124,47.99996120703696,0.197265625
220000,1,48,4.558110593577961,0.04563762182016798,47.999930794069016,0.19140625
230000,1,48,4.464274186863824,0.04524142544042369,47.9998743844926,0.1953125
240000,1,48,4.393103308788729,0.04487319832117185,47.99992480166009,0.205078125
250000,1,48,4.344982729359383,0.044506682328934545,47.99994624854251,0.1953125
260000,1,48,4.367055789950072,0.044166893480995076,47.99999261086418,0.201171875
270000,1,48,4.2753797689255615,0.04385470561675263,47.99997143468227,0.2041015625
280000,1,48,4.311182449390642,0.04351525109383551,47.999945122149846,0.1923828125
290000,1,48,4.256978556995437,0.04324848057151676,47.99994016565591,0.193359375
