step,epoch,k,train_mse,val_mse,val_l0,dead_frac,aux_loss,n_dead
10000,1,64,0.057918981992681834,0.07203589767110628,64.0,0.0,0.0,1
20000,1,64,0.04606421116061586,0.05891506489891875,64.0,0.0,0.0,0
30000,1,64,0.04172304196595753,0.05382196786610728,64.0,0.0,0.0,0
40000,1,64,0.03960682070505418,0.05087264294765661,64.0,0.0,0.0,0
50000,1,64,0.03723312981319769,0.04853975659660149,64.0,0.0,0.0,0
60000,1,64,0.03545586738621861,0.04650360776070042,63.99999995494429,0.0,0.0,0
70000,1,64,0.03378189919007103,0.0445991081773918,63.99999995494429,0.0,0.0,0
80000,1,64,0.03314789621370421,0.04286963460542383,63.99999950438723,0.0,0.0,0
90000,1,64,0.031231222797981073,0.04115951597171332,63.99999950438723,0.0,0.0,0
100000,1,64,0.029559138025486466,0.03951684635605192,63.99999909888587,0.0,0.0,0
110000,1,64,0.028614448806295427,0.03791211356744004,63.99999170975006,0.0,0.0,0
120000,1,64,0.027298337374079554,0.036414253504861875,63.99999810766034,0.0,0.0,0
130000,1,64,0.025744135544240217,0.03498320795347262,63.99999734171333,0.0,0.0,0
140000,1,64,0.025302979519150927,0.03373180687806048,63.99999364714542,0.0,0.0,0
150000,1,64,0.02446655572098198,0.032603237068120045,63.99999202514,0.0,0.0,0
160000,1,64,0.023649587898659317,0.031547548898504224,63.99999445814814,0.0,0.0,0
170000,1,64,0.023153371403184575,0.030644534428388187,63.99998968224328,0.0,0.0,0
180000,1,64,0.02247335596081622,0.02985573610599522,63.99999517903944,0.0,0.0,0
190000,1,64,0.022266710055855423,0.02922048428636876,63.99998224805176,0.0,0.0,0
200000,1,64,0.021710661181074464,0.028559535420718225,63.999990358078875,0.0,0.0,0
210000,1,64,0.021123632482646388,0.02808468811415367,63.999967199445884,0.0,0.0,0
220000,1,64,0.021074469978264867,0.027606698055993792,63.999977607314015,0.0,0.0,0
230000,1,64,0.02063891044093058,0.027198711422250596,63.999963324655155,0.0,0.0,0
240000,1,64,0.019987040930443425,0.02679219615082642,63.99998278872023,0.0,0.0,0
250000,1,64,0.019769390161833378,0.026459455883675247,63.9999837345238,0.0,0.0,0
260000,1,64,0.019768715221075733,0.026108054559497988,63.99998463563792,0.0,0.0,0
270000,1,64,0.01931027917858354,0.025824216902356187,63.999983734890066,0.0,0.0,0
280000,1,64,0.0194014364987572,0.02552242514483159,63.99999427792531,0.0,0.0,0
290000,1,64,0.018933976039061412,0.025255910896399558,63.99999400759108,0.0,0.0,0
300000,1,64,0.019238210976828915,0.024999492446382138,63.99999675598915,0.0,0.0,0
310000,1,64,0.01857813365564093,0.024759938321082933,63.99999864832881,0.0,0.0,0
320000,1,64,0.018612621907028466,0.02453819565135179,63.99999923405299,0.0,0.0,0
330000,1,64,0.01867557581233306,0.024321256249855285,63.99999936922011,0.0,0.0,0
340000,1,64,0.01822036516127388,0.024143411830336005,63.99999954944294,0.0,0.0,0
350000,1,64,0.018437200664342394,0.023981868450956213,63.99999959449865,0.0,0.0,0
360000,1,64,0.017759067495271483,0.02385024731351559,63.99999179986147,0.0,0.0,0
370000,1,64,0.017857341044937577,0.023685850833490205,63.9999985582174,0.0,0.0,0
380000,1,64,0.01790356579436035,0.02357760303225313,63.999998152716046,0.0,0.0,0
390000,1,64,0.017600534176914876,0.02347034930990523,63.99999995494429,0.0,0.0,0
400000,1,64,0.017465265847917553,0.023356157823016935,63.99999747688045,0.0,0.0,0
410000,1,64,0.017240648415598504,0.023252878055932662,63.99999599004215,0.0,0.0,0
420000,1,64,0.01734483426303719,0.02312771805343196,63.99999761204757,0.0,0.0,0
430000,1,64,0.01741753103865326,0.023051651382292437,63.999999324164406,0.0,0.0,0
440000,1,64,0.017123729262868585,0.02297831849921687,63.999999324164406,0.0,0.0,0
450000,1,64,0.017130471578749983,0.022845082018782936,63.999999774721466,0.0,0.0,0
460000,1,64,0.017125093607541355,0.02276865948533826,63.99999981977717,0.0,0.0,0
470000,1,64,0.017035404896499927,0.022684214662610277,63.9999992791087,0.0,0.0,0
480000,1,64,0.017097768065902977,0.02258943370324236,63.99999963955435,0.0,0.0,0
