step,epoch,train_loss,train_recon,train_L1,val_loss,val_mse,val_l0,dead_frac
1990000,5,0.006609073080679805,0.0003444057938485556,62.64667426993789,1.0922678544148754e-05,4.279316046773378e-06,160.91934992415753,0.4921875
2000000,5,0.006475157050176383,0.00023270821889170417,62.42449014003751,8.548101126141181e-06,1.905160648105108e-06,160.926186497375,0.50390625
2010000,5,0.006798289363972708,0.0005399304376601671,62.58359043560199,1.0229765088426097e-05,3.5881983272983205e-06,160.72894090581357,0.5009765625
2020000,5,0.0084218077685525,0.0021186272316120755,63.03180682524101,2.7302438411329067e-05,2.0662674149597803e-05,160.3695224814964,0.5078125
2030000,5,0.006464525781110224,0.00022644506623285994,62.38080860617632,7.875082253896562e-06,1.2365175374424226e-06,160.58246895043382,0.505859375
2040000,5,0.007190789169960309,0.0009108244221094109,62.799649080624576,1.6110759900604003e-05,9.47386532718602e-06,159.63609943384245,0.529296875
2050000,5,0.0069082757454186185,0.0006320090549372239,62.76266799946692,1.4540351534185084e-05,7.90565798211804e-06,158.82045657040896,0.5322265625
2060000,5,0.007992536855282917,0.0016978809622095231,62.94656014075509,2.0732889101890863e-05,1.4098651631096914e-05,158.66952522459832,0.5341796875
2070000,5,0.007152290240938076,0.000867545610445155,62.84744779741355,1.5353240903244286e-05,8.720761948342846e-06,158.74701401188543,0.544921875
2080000,5,0.007306836425400754,0.0010593171596463937,62.475193766769685,1.1514295676167705e-05,4.881885979929882e-06,158.41164808036214,0.546875
2090000,5,0.006707613499278998,0.00045486834896729043,62.52745303040528,1.149392090978748e-05,4.865779274532256e-06,158.6438194140061,0.5576171875
2100000,5,0.006727389837105196,0.0004889157743149205,62.38474214939504,1.1109392471084755e-05,4.48293712125288e-06,158.63027404671988,0.5595703125
2110000,5,0.006863327453273691,0.0006600214701206217,62.03306150548761,1.1848527177386283e-05,5.224015737080348e-06,158.68683202379182,0.552734375
2120000,5,0.0067982034676169435,0.0005510577449194032,62.47145864954256,1.322642068148388e-05,6.602946221699317e-06,158.70082443406855,0.5546875
2130000,5,0.006533019364825453,0.00028549919040901574,62.475203291524046,8.848989337092861e-06,2.2263385221682757e-06,158.69960847040977,0.55859375
2140000,5,0.006857363679098001,0.0006218697381335088,62.354940930895616,1.1512673064772464e-05,4.891549161115427e-06,158.6980120111052,0.56640625
2150000,5,0.006629556815920277,0.00034547645917262055,62.84080518452333,1.0073910157851021e-05,3.453842818143003e-06,158.65314062734137,0.56640625
