step,epoch,train_loss,train_recon,train_L1,val_loss,val_mse,val_l0,dead_frac
1970000,4,0.006536665382522594,0.00027033847217076864,62.66327089098992,9.384667215470318e-06,2.7396211645820515e-06,161.0627837735453,0.490234375
1980000,4,0.0063386368769704484,9.399855239637643e-05,62.446384720873574,7.504452017810682e-06,8.592012495750075e-07,160.98321611780838,0.482421875
1990000,4,0.006674354366367064,0.00041411909133055755,62.60235421171018,9.457626781799806e-06,2.813736144691072e-06,160.90067266702803,0.48828125
2000000,4,0.008169369541317244,0.0018637401001437794,63.056296241824775,3.6336463278720934e-05,2.969469923430807e-05,160.6322603257945,0.4970703125
2010000,4,0.006557370048679347,0.00031652112638075265,62.40849041503145,8.639494857072818e-06,1.9979685387265563e-06,160.75157873941976,0.5185546875
2020000,4,0.007867056361632064,0.001583540808065117,62.83515669823816,1.7987754770466415e-05,1.1347224441060453e-05,160.46382254334512,0.5166015625
2030000,4,0.007176602951054674,0.0008967072815442745,62.79895815866128,1.709485313474744e-05,1.0456247493416819e-05,160.430875287062,0.5234375
2040000,4,0.006968839331540365,0.0006712212610175261,62.976182138161064,1.5182833375889707e-05,8.546903642882556e-06,159.48062899733938,0.5244140625
2050000,4,0.007168126589288955,0.000880942612850655,62.87184125856728,1.5180958336720294e-05,8.547080767654229e-06,158.9890644395325,0.544921875
2060000,4,0.007011189040464394,0.0007614099340156407,62.49779250016915,1.0089592594860118e-05,3.455313926092228e-06,158.8084342208494,0.5458984375
2070000,4,0.006564136437434241,0.00030769558030276876,62.56441018907154,9.423738812674545e-06,2.7924448666631235e-06,158.82364543210915,0.5556640625
2080000,4,0.006638240260131936,0.0003965744437437444,62.41665933288391,1.0476772257229897e-05,3.847089756199118e-06,158.63443854533932,0.5546875
2090000,4,0.006580726783982079,0.00037443161767166186,62.06295322229258,1.0107496046031352e-05,3.4796458476063313e-06,158.69271057646003,0.560546875
2100000,4,0.006610042614595286,0.00035969828844231846,62.50344509267472,1.0046171157723184e-05,3.419090449858422e-06,158.7100638713418,0.568359375
2110000,4,0.0066647126613363075,0.00041426931396390575,62.50443526654332,9.79754202061895e-06,3.171839283828959e-06,158.70935046005295,0.5673828125
2120000,4,0.006923401016841912,0.0006848087971377632,62.38592438434398,1.0524276573144432e-05,3.900404233883449e-06,158.66260502987728,0.57421875
2130000,4,0.006585471698634696,0.00029882813041751273,62.866437397440926,9.850849903447127e-06,3.2281542317986923e-06,158.72889819343516,0.5751953125
